sample_id,text,word_count
wt_5000,"On 7 November 1945 , Breese steamed to the west coast arriving 26 November . She transited the Panama Canal and arrived at New York City on 13 December . She was decommissioned on 15 January 1946 and sold for scrap on 16 May 1946 . She received ten battle stars for her service in World War II .",59
wt_5001,"Sarnia 's grain elevator , which is the sixth largest currently operating in Canada , was built after the dredging of Sarnia Harbour in 1927 . Two short years later , grain shipments had become an important part of Sarnia 's economy . The grain elevator rises above the harbour , and next to it is the slip for the numerous bulk carriers and other ships that are part of the shipping industry that includes vessels from all over the world . The waterway between Detroit and Sarnia is one of the world 's busiest , as indicated by the average of 78 @,@ 943 @,@ 900 tonnes ( 87 @,@ 020 @,@ 800 short tons ; 77 @,@ 697 @,@ 100 long tons ) of shipping that annually travelled the river going in both directions during the period 1993 – 2002 . Lake freighters and oceangoing ships , which are known as "" salties , "" pass up and down the river at the rate of about one every seven minutes during the shipping season . During this same period , The Paul M. Tellier Tunnel , which was named after the retired president of CN in 2004 , was bored and began operation in 1995 . It accommodates double @-@ stacked rail cars and is located next to the original tunnel , which has been sealed .",229
wt_5002,"Mumaith Khan as Reshma , the dirt bike race organiser . She also appears in "" Bangaru Kodipetta "" .",20
wt_5003,"Mathews and an escort force went to Witu where , on 31 July , they removed the flag of the IBEA company and replaced it with the red flag of Zanzibar , before destroying several villages and causing Oman to retreat into the forests . The British troops then withdrew , having suffered heavily from malaria , but the Sudanese and Zanzibari troops remained . A further expedition was sent of 140 sailors and 85 other troops but Oman died soon after and a more pliable sultan , Omar bin Hamid , was appointed to govern on behalf of Zanzibar , bringing the affair to a close . In return for this action , Mathews received the British East and West Africa campaign medal .",125
wt_5004,"Early in 1905 , Tomita and Maeda gave several public demonstrations of judo . On February 17 , 1905 , Tomita and Maeda gave a demonstration at Princeton University , when Maeda threw N. B. Tooker , a Princeton football player , while Tomita threw Samuel Feagles , the Princeton gymnasium instructor . On February 21 , 1905 , they gave a judo demonstration at the United States Military Academy at West Point , where Tomita and Maeda performed kata ( patterns ) — nage @-@ no , koshiki , ju @-@ no , and so on . At the request of the crowd , Maeda wrestled a cadet and threw him easily . Because Tomita had been the thrower in the kata , the cadets wanted to wrestle him too . Tomita threw the first ( Charles Daly ) without any trouble . However , Tomita twice failed to throw another football player named Tipton using tomoe @-@ nage ( stomach throw ) . Afterwards , the New York sportswriters claimed the victory for the cadets because Tomita was thrown , whereas the Japanese embassy staff proclaimed that Tomita had achieved a moral victory , on the grounds that he was a far smaller man .",207
wt_5005,"As this study was initiated , the route for the proposed freeway was located between 60th and 68th streets with a western end in Hudsonville and an eastern end in Lowell Township . The consultants were asked to study a full freeway and a limited access boulevard design . One final option was a "" no @-@ build "" alternative ; under this option , existing roads would be upgraded but no new roads would be built . The City of Grand Rapids opposed the freeway while the suburbs and townships south and west of the city supported it . City officials were concerned about the impact to commercial and industrial business in Grand Rapids . Hudsonville 's city manager favored the proposal as a benefit to local vegetable producers who shipped produce to Detroit or Cleveland . Other supporters , such as the Georgetown Township supervisor , were concerned that delays in starting the project could increase costs . State and local officials expected the freeway in January 1981 to cost between $ 40 – 100 million ( equivalent to $ 160 – 400 million in 2015 ) . The road was to be started no sooner than 1990 .",201
wt_5006,"In this game , the Crimson Tide wore Nike Pro Combat uniforms for the first time . These uniforms featured crimson jerseys with grey and white houndstooth numbers , a houndstooth stripe on the helmet , houndstooth gloves and an American flag sewn into one of the sleeves in honor of Veterans Day . The houndstooth design was chosen as a tribute to former Alabama coach Bear Bryant who was known for wearing a houndstooth fedora during games . The victory improved Alabama 's all @-@ time record against the Bulldogs to 73 – 18 – 3 ( 75 – 17 – 3 without NCAA vacations and forfeits ) .",110
wt_5007,"The helmet appears to have been deliberately folded up and deposited in an artificial stone structure . It is thought to have been used for ceremonial occasions rather than for combat , and may already have been an antique by the time it was buried . It is of the same type as the Newstead Helmet ( found in 1905 ) and its design also has similarities with the Ribchester Helmet ( found in 1796 ) and the Hallaton Helmet ( found in 2000 ) , though its facial features are more akin to those of helmets found in southern Europe . Its design may allude to the Trojans , whose exploits the Romans re @-@ enacted in cavalry tournaments .",121
wt_5008,The entire highway is within unincorporated Benton County .,9
wt_5009,"Angelou told her friend Oprah Winfrey that the call requesting her to write and recite the poem came from television producer Harry Thomason , who organized the inauguration , shortly after Clinton 's election . Even though she suspected that Clinton made the request because "" he understood that I am the kind of person who really does bring people together "" , Angelou admitted feeling overwhelmed , and even requested that the audiences attending her speaking engagements pray for her .",82
