sample_id,text,toxic,word_count,clean_toxic_prob,clean_prediction,tokenizer_family,model_name
b674b9d7ec7391d0,four words - veil of questionable science -,0,8,5.305159720592201e-05,0,bpe,s-nlp/roberta_toxicity_classifier
4bebd00622a18d7a,"That one anonymous editor 

Thanks for your help with that anonymous user, particularly in reverting the edits on my user page.  I removed the refimprove templates on both the Kent, Ohio and Theodore Roosevelt High School (Kent, Ohio) articles because they really aren't needed.  Both articles can still be improved in many ways, but they both are well-sourced.  Their placement was done in spite, not for any actual encylcopedic reason or concern over content.  It seems that when editors, particularly new editors, get in a disagreement with me, their solution is to edit the pages I edit the most.  Same thing happened with a newer editor who edited the Akron, Ohio article a little while back if you remember.  I feel the latest edits, particularly what was placed on your and my talk pages and in my user page could be considered Harassment.    
Oh, it's definitely harassment, and the anti-Mormon tone to it makes me sad even though I'm not LDS.  I actually considered posting this to WP:ANI... probably will if the editor persists.",0,174,8.830106526147574e-05,0,bpe,s-nlp/roberta_toxicity_classifier
fe0d55760b4074af,"""

No More
I will no longer be vandalizing Wikipedia or its userpages. I have being doing so for months, mostly because seeing my vandalism or that of others was funny as hell (""""User X got swallowed by a Wale"""" is hilarious, come on) and to punish admins who I felt . My non constructive edits were done out of boredom, especially those  containing racial slurs. (I am not racist, in fact I am racially mixed myself) 

I started editing on Wikipedia (specifically the U of  L page) mainly out of a 'cold war' that developed betw myself & U of L's marketing director, which escalated after I was featured in the Herald Leader critising his marketing of U of L .  
I wanted to show President Ramsey how to market the """"New U of L"""" and Wikipedia was my penpad to this end. 

My vandalism started after a edit conflict over the Courier Journal's sports and editorial coverage, where my (what I felt were) legitment edits on the page for C-J critism were removed and I was blasted. After another C-J my account was blocked.  

Prior to this I had many good edits on KY related pages, which I am proud of. I feel that my work here is now complete and I will only edit in exiting new facts I find out or breaking news.  The Louisville Vandal/Unemployed, living in basement/Brando03/many others  """,0,235,0.0003587901301216334,0,bpe,s-nlp/roberta_toxicity_classifier
08f01049b4474baf,"Giving links You only confirmed - in Lithuania is used lithuanized version. I knew this, but this is English WP. What's the reason   of transliteration?",0,25,3.7989615520928055e-05,0,bpe,s-nlp/roberta_toxicity_classifier
37598ca1c757b133,", 15 February 2009 (UTC)

If the point is that Warren and his church are viewed as controversial in some circles and that some substantial, clear (particularly to those unfamiliar with the American cultural stew from which this springs), additional detail should be added to the articles (both here and at Rick Warren) to reflect that, then that should be argued. Otherwise, all this blather over Savage's latest addition to the English language is a waste of time; it's a poor surrogate that avoids mention of such substantive issues. I think it reflects accumulated fatigue from the long arguments over past unsuccessful proposed changes.   06:17",0,105,3.751196345547214e-05,0,bpe,s-nlp/roberta_toxicity_classifier
2e162e6c473ac4b2,"As I understood it, the usual procedure is to request a citation, rather than simply delete the edit (unless it's clearly vandalism). No worries: I could back up the edit up if I wanted, but I'm bored now.",0,38,6.178620969876647e-05,0,bpe,s-nlp/roberta_toxicity_classifier
e23042a5875b688c,"The reason is pretty clear, you have to cite your source for the information. I don't want to get into a fight about it either.",0,25,3.848494088742882e-05,0,bpe,s-nlp/roberta_toxicity_classifier
35df943a1dd0ce6f,So my band's not notable? Try telling that all my loyal fans and adoring groupies.,0,15,0.0001646714808885008,0,bpe,s-nlp/roberta_toxicity_classifier
75a4533ad6af65da,"Very true! Especially when there are ample examples of slights one does _not_ have to infer. Just trip lightly down Greg's maths and logic editing history (Theorem is an excellent starting place) to see that this is far from the first time that Greg has demonstrated an inability and/or unwillingness to edit in a collegial, collaborative manner (not to mention issues of competence). One hoped that he'd found a niche in fiddling with categories where he wouldn't do any damage but alas not. But, just like when Capone was nicked for tax evasion and not his numerous other crimes, one takes victory where one finds it. Good riddance. 198.228.200.170",0,109,0.0002500186092220247,0,bpe,s-nlp/roberta_toxicity_classifier
b0410bd1241ae20d,"I already HAVE reported them, and I've shown you the differences AND put them on the form. I've done everything I can do. We're supposed to block sockpuppets and vandals, not the people trying to report them. 88.109.31.145",0,38,0.0007221843698062003,0,bpe,s-nlp/roberta_toxicity_classifier
a3e51305b43bdd71,The paranoia of this known homophobic user make him uninteresting. Just don't care about him and his homophobic agenda everywhere in wikipedia. 83.112.26.176,0,23,0.08387257903814316,0,bpe,s-nlp/roberta_toxicity_classifier
62fdd7aa7c6e0d53,"""

 Response to HJ Mitchells """"challenge"""" 

Since I am still blocked and cannot post this in response to HJ's challenge nor can I vote for the three candidates I do support, I will leave this here.
Hj Mitchell, please spare us the dramatics of, """"I'll quite if you give me a reason."""" No one here thinks you will quite regardless of any reasons given nor would you be expected too. You are also fully aware that no one is going to mine through your edits looking for wrongdoing. That's just a waste of time and you would likely retort with they are NOTHERE. What I will do, is give you a few examples of what I have seen over a very short span of time. Given a review of any say, month long period, I think we will find the same result within a few percentage points of the mean.
You made an obviously bad call about Protonk, a well respected and long term contributor to this project based on what you term a BLP violation. You state in your comments that this was supported by other admins when anyone who takes the time to actually go there and read the comments will see, that no one supported your decision. This caused a moderate admin to leave the project completely only to allow less moderate admins like yourself more room to exert influence. After reviewing the comment Protonk made, I certainly agree it was a bad comment, but it was absolutely not worthy of a block without any sort of warning or talk page message and it was no worse than your outburst of telling all the editors in an RFA they are Fucking morons"""" because you were the submitter of the RFA and likely had your feelings hurt. An event I note that you were not blocked nor even approached about and as far I can find have never openly apologized for. Although there may be a comment somewhere I do admit. 
You have a tendency to exaggerate in your favor such as can be seen in the previous statement when determining that there was support to summarily block Protonk when there clearly was nt. This can also be seen in reviewing some of the cases on your talk page and talk archives.
As mentioned above, and as noted by several individuals, your Fucking morons''' comment is still too new and does not represent the attitude needed or wanted of a functionary.
You recently unblocked  and revoked his topic ban knowing this user had a long history of Personal attacks and trolling regarding gender topics and gamergate. Within 24 hours that user was again blocked for personal attacks, has continued to stir the pot and make drama and has been drug to at least ANI and Arbcom within the last week as can be seen on their talk page and the mentioned venues.
Even based on your comments here, you clearly have an attitude of knowing better than everyone else whats good for Wikipedia. That arrogance is inappropriate of a functionary.
You give a staggering number of over 13000 blocks and claim it as an achievement. Personally, I see this as proof of your tendency to block first and ask questions later. There is no way you scrutinized all those and I can easily see a lot of mistakes and preventing useful edits from being done through bad faith assumptions of guilt, similar to those you displayed towards me for criticizing your actions.
I could keep going, but that is enough IMO to show a pattern of conduct not appropriate of a functionary. 96.255.237.170  """,0,606,0.007125981617718935,0,bpe,s-nlp/roberta_toxicity_classifier
4e668c4ec331939c,"I like to keep things on the level, life is about balance, 50/50, ying and yang.",0,16,4.68117359559983e-05,0,bpe,s-nlp/roberta_toxicity_classifier
