"experiment_id","date","repository","phase","status","dissertation_role","question","scripts","inputs","outputs","models_tokenizers","attack","defence_or_detector","seed","n_source","n_evaluated","n_generated_rows","statistics","runtime","key_results","supersedes_or_corrects","evidence_paths","evidence_confidence","notes"
"V2-01","2026-08-07","version2","data acquisition + clean baseline","PRIMARY","Foundational victim clean-baseline and eligible-set definition; feeds all attack experiments","Does the WordPiece victim correctly classify Jigsaw toxic/benign rows before any attack, and what subset is eligible for attack?","02_build_datasets.py; 02_clean_baseline.py","HF jigsaw-toxic-comment-classification-challenge; HF Salesforce/wikitext (wikitext-2-raw-v1)","data/jigsaw_toxic_250.csv; data/jigsaw_benign_250.csv; data/wikitext_calibration_5000.csv; data/wikitext_heldout_5000.csv; data/clean_baseline_toxic.csv; data/clean_baseline_benign.csv","martin-ha/toxic-comment-model (DistilBERT/WordPiece)","none","none","42","500 (250 toxic + 250 benign Jigsaw); 10,000 WikiText lines","500","500 clean-baseline rows (250+250)","none (point estimates)","UNKNOWN","recall 0.624 (156/250 toxic detected); benign FPR 0.032 (8/250)","","data/clean_baseline_toxic.csv; data/clean_baseline_benign.csv; notes/handoffs.md sec4","HIGH","On-disk script is 02_clean_baseline.py but notes label it 'Step 3' -- unexplained filename/label mismatch. 156-row eligible toxic set used by all downstream attacks."
"V2-02","2026-08-07","version2","attack generation","PRIMARY","Primary TokenBreak attack-success evidence","Does TokenBreak (BreakPrompt Algorithm 1) fool the WordPiece victim on eligible toxic rows?","04_tokenbreak_attack.py","data/clean_baseline_toxic.csv (156 eligible)","data/tokenbreak_results.csv","martin-ha/toxic-comment-model (WordPiece)","TokenBreak (BreakPrompt Alg. 1)","none (undefended)","deterministic search, no RNG seed used","156","156","156","none (point ASR); CIs computed downstream in V2-06/V2-08","UNKNOWN","150/156 successful, ASR 0.962, mean 9.2 words modified, mean confidence drop 0.8081","supersedes V2-11 (backup/04_tokenbreak_attack_old.py, ad hoc heuristic methodology)","data/tokenbreak_results.csv; notes/handoffs.md sec4","HIGH","BASE_THRESHOLD=0.995, DEEP_CHECK=True (iterative threshold escalation, a documented deviation from the paper's non-terminating recursive deep_check)"
"V2-03","2026-08-07","version2","attack generation","PRIMARY","Primary AdvTok attack-success evidence","Does AdvTok (noncanonical WordPiece search) fool the victim while preserving visible text exactly?","05_advtok_attack.py","data/clean_baseline_toxic.csv (156 eligible)","data/advtok_results.csv; data/advtok_successes.csv","martin-ha/toxic-comment-model (WordPiece)","AdvTok (Geh, Shao & Van den Broeck, ACL 2025; WordPiece-adapted)","none","42","156","156","156 (150 successes in advtok_successes.csv)","none (point ASR)","UNKNOWN","150/156 successful, ASR 0.962; seed-alone success 82/156=0.526 (search added 68); mean 1.7 greedy moves; mean confidence drop 0.7737; all 156 valid==1 (noncanonical, same visible text, no specials)","supersedes V2-12 (advtok_results_old.csv, 3 documented bugs)","data/advtok_results.csv; notes/handoffs.md sec4,sec7","HIGH","MAX_ITERS=25, NEIGHBOR_SAMPLE=128, RANDOM_INIT=True; hard parity_check() raises RuntimeError on mismatch"
"V2-04","2026-08-07","version2","attack generation","PRIMARY","Primary Unicode attack-family evidence","Do 4 Unicode sub-attacks (invisible/homoglyph/compat/reorder) fool the victim?","07_unicode_attacks.py","data/clean_baseline_toxic.csv (156); data/intentional.txt","data/unicode_invisible.csv; data/unicode_homoglyph.csv; data/unicode_compat.csv; data/unicode_reorder.csv; data/unicode_results.csv","martin-ha/toxic-comment-model (WordPiece)","Unicode (Boucher et al. 2022 'Bad Characters', differential-evolution search); 'compat' flagged in-code as own extension","none","42","156","624 (156 x 4 sub-attacks)","624 (verified = row-wise concat of 4 x 156-row files)","none (point ASR); CIs downstream","UNKNOWN","compat 91.0% (142/156); reorder 88.5% (138/156); homoglyph 85.9% (134/156); invisible 0.0% (0/156)","","data/unicode_results.csv; notes/pipeline.md lines 32-39","HIGH","BUDGET=5, POP_SIZE=32, MAX_ITERS=10 (matches cited paper's DE settings)"
"V2-05","2026-08-07","version2","defence matrix","PRIMARY","Core seven-defence x six-attack paired evaluation -- dissertation's central evidence table","How does each of 7 defences perform against each of 6 attacks, paired clean-vs-attacked?","08_defences.py; 09_defence_matrix.py","data/tokenbreak_results.csv; data/advtok_results.csv (valid & noncanonical); data/unicode_results.csv; data/wikitext_calibration_5000.csv (CPT calibration only, no attack-data leakage)","data/cpt_thresholds.json; data/defence_matrix.csv; data/defence_matrix_summary.csv","martin-ha/toxic-comment-model (victim); xlnet-base-cased (unigram sanitiser reference)","TokenBreak, AdvTok, Unicode x4 (6 total)","7: tokenizer_translation, canonical_reject, canonical_replace, unicode_sanitise, nfkc_confusable, cpt_global, cpt_window","42","936 attack instances (156+156+624)","936","6,552 (936 x 7 defences, verified)","paired evaluation; CIs computed in V2-06 (bootstrap N=5000)","UNKNOWN","7 distinct defences x 6 distinct attacks confirmed by column inspection; cpt_thresholds.json = {global: 2.94093137254902, window: 1.1}","supersedes V2-13 (backup/09_defence_matrix_old.py, unpaired methodology)","data/defence_matrix.csv; data/defence_matrix_summary.csv","HIGH","script asserts exactly 936*7 rows at runtime (RuntimeError guard); WINDOW=10 tokens is a deliberate WordPiece adaptation (5 degenerates to CPT floor on WordPiece) [POST-HOC DESIGN RATIONALE, added 2026-08-08 by this audit at the user's request -- reconstructed from the current script's logic, not found in any dated project note file. OLD (superseded, V2-13) unpaired matrix risked attributing a defence's own side-effect to the attacker: if a defence changed a clean toxic sample to non-toxic, the attacked version would also read non-toxic and could be misread as attack success, when the defence -- not the attacker -- caused the flip. FINAL (paired, this experiment) design fixes this by first requiring the clean sample remain toxic under the SAME defence, and only then asking whether the attacked version becomes non-toxic under that defence, so attack success is never confounded with defence-induced classifier degradation.]"
"V2-06","2026-08-07","version2","statistical analysis","PRIMARY","Primary bootstrap-CI'd attack/defence effectiveness results + HTML report","What are the bootstrap-CI'd ASR reduction, detection, clean-retention, and latency rates per attack x defence cell?","10_analysis.py","data/defence_matrix.csv; data/wikitext_heldout_5000.csv; data/jigsaw_benign_250.csv; data/cpt_thresholds.json","results/step10/attack_metrics.csv, clean_controls.csv, clean_summary.csv, detection_metrics.csv, figures (10 pairs), report.html, literature_notes.txt","martin-ha/toxic-comment-model","all 6","all 7","42","6,552 defence-matrix rows + 5,250 clean-control examples (5,000 WikiText heldout + 250 Jigsaw benign)","6,552 + 36,750 (5,250 x 7 defences clean-control rows)","attack_metrics 42; clean_controls 36,750; clean_summary 14; detection_metrics 42","nonparametric paired bootstrap, N_BOOTSTRAP=5000, 95% CI","UNKNOWN","TokenBreak best defended by tokenizer_translation (95.3%->46.5% paired ASR, CI 40.2-57.5pp reduction); AdvTok neutralised to 0% by canonical_reject/canonical_replace/unicode_sanitise/nfkc_confusable/tokenizer_translation; HARMFUL regression: Unicode invisible + tokenizer_translation (0%->13.4%)","","results/step10/*.csv; results/step10/report.html","HIGH","report.html KPI tiles independently confirm 936 attack instances, 7 defences, 6,552 rows, 5,000 bootstrap resamples, 5,250 clean controls"
"V2-07","2026-08-07","version2","utility evaluation","PRIMARY","Complex legitimate-input utility/collateral-damage evidence","What is the utility cost (false-trigger/block rate) of each of the 7 defences on complex-but-legitimate text (code, URLs, emoji, misspellings, non-English, mixed-script)?","11_complex_utility.py","CodeSearchNet (Husain et al. 2019); GoEmotions (Demszky et al. 2020); FLORES; own jigsaw_benign rows","data/complex_legitimate_600.csv; results/step11/*.csv; figures (8 pairs); report.html","martin-ha/toxic-comment-model","none (utility test)","all 7","42","600 (100 per 6 categories)","600","complex_utility_rows.csv (per-row per-defence); complex_utility_summary.csv 42 (6x7); complex_utility_overall.csv 7 (per defence)","bootstrap N=5000, 95% CI","UNKNOWN","cpt_global trigger/block rate 55.17% (blocks over half of complex legitimate inputs); cpt_window 36.17%; tokenizer_translation operational_preservation 98.67%","","data/complex_legitimate_600.csv; results/step11/complex_utility_overall.csv; results/step11/dataset_provenance.txt","HIGH","victim's prediction not treated as ground truth for non-English/code/URL rows; measures defence-induced CHANGE relative to undefended input only. True n_source=n_generated_rows=600 (raw wc -l of 2774 is an embedded-newline artefact from multi-line code snippets, not extra rows)."
"V2-08","2026-08-08","version2","final synthesis","PRIMARY","Final coverage matrix and margin-stratified ASR -- dissertation's headline summary artefact","Which attack x defence cells achieve complete/partial/no-effect coverage, and does attack success vary with the victim's clean-prediction confidence margin?","13_freeze_current_results.py","results/step10 and results/step11 outputs; data/defence_matrix.csv-derived tables","results/final_current/coverage_matrix.csv, margin_overall.csv, margin_stratified_asr.csv, headline_summary.txt, figures (2 pairs)","martin-ha/toxic-comment-model","all 6","all 7","42","42 attack x defence cells; 156 eligible rows stratified into 3 confidence bins (10/18/128)","42 cells","coverage_matrix 42; margin_overall 6; margin_stratified_asr 18","bootstrap N=5000, 95% CI; fixed margin bins [0.5,0.6,0.8,1.0000001] declared 'fixed before looking at this analysis'","UNKNOWN","coverage status counts: NO CLEAR EFFECT=19, COMPLETE=9, PARTIAL=7, NO BASE ATTACK=6, HARMFUL=1 (sums to 42); high-confidence (>0.80) ASR: TokenBreak/AdvTok 96.1% (123/128), Unicode compat 89.8%, reorder 87.5%, homoglyph 84.4%, invisible 0.0%","","results/final_current/headline_summary.txt; results/final_current/coverage_matrix.csv","HIGH","script docstring explicitly states 'no model calls. no new attacks. no threshold tuning.' -- a snapshot/synthesis stage only"
"V2-09","2026-08-07","version2","cross-tokenizer generalisation groundwork","SUPPORTING","Generalisation groundwork only -- establishes per-tokenizer-family eligible sets; NOT proof attacks generalise across families","Do classifiers built on different tokenizer families (BPE, Unigram) agree with the WordPiece victim on clean (unattacked) Jigsaw rows?","12_cross_tokenizer_baseline.py","data/jigsaw_toxic_250.csv; data/jigsaw_benign_250.csv; data/clean_baseline_toxic.csv","data/cross_bpe_clean_toxic.csv, cross_bpe_clean_benign.csv, cross_unigram_clean_toxic.csv, cross_unigram_clean_benign.csv, cross_tokenizer_eligibility.csv, cross_tokenizer_shared_eligible.csv, cross_tokenizer_metadata.json","s-nlp/roberta_toxicity_classifier (BPE); Emmytheo/Deberta-v3-finetuned-hate-speech-jigsaw-toxic-comments (Unigram); martin-ha/toxic-comment-model (WordPiece, reused)","none (clean baseline only)","none","42","250 toxic + 250 benign (same rows re-scored under 2 additional models)","500","250 (eligibility) + 155 (shared)","none (point recall/FPR)","UNKNOWN","WordPiece eligible 156/250 (recall 0.624); BPE eligible 214/250 (recall 0.856, benign FPR 0.032); Unigram eligible 242/250 (recall 0.968, benign FPR 0.02); shared-eligible-all-three 155/250","","data/cross_tokenizer_metadata.json","HIGH","NO ATTACKS RUN on BPE/Unigram models in this experiment -- see V2-14 for the (unexecuted) attack-generalisation follow-on. Do not cite as evidence of attack transfer."
"V2-10","2026-08-07 (abandoned early)","version2","scoping decision","SUPERSEDED","Documents explicit in-repo rejection of continuing the old deftok5 cross-tokenizer-divergence detector line; corroborating evidence for the audit boundary between the two repositories","(abandoned before answered) Could cross-tokenizer Jaccard divergence serve as an attack detector within version2?","06_detector_scores.py","n/a","none","n/a","n/a","cross-tokenizer Jaccard divergence (same family of idea as deftok5's detector)","n/a","0","0","0","none","n/a","none -- no output ever produced","n/a (abandoned, not corrected)","notes/handoffs.md sec2","HIGH","Verbatim: 'ABANDONED, DO NOT BUILD ON IT... my own idea and not paper-backed... demoted to appendix. Ignore this file.' Script existing is not evidence an experiment ran."
