sample_id,text,word_count
wt_0,"Chen felt that the reason that Cloud had been so warmly received was because the emotions it sparked in players were different than any other game available at the time , and believed that it was his "" calling "" to make more games that changed what people saw video games as . Chen went on to do his master 's thesis the following year in the concept of dynamic difficulty adjustment , where the game adjusts how it reacts to the player based on the past and present actions of that player . Chen illustrated his ideas with Flow , a Flash game made with Nicholas Clark . The game involves the player guiding an aquatic microorganism through various depths of the ocean , consuming other organisms and evolving in the process . It was released in March 2006 ; it received 100 @,@ 000 downloads in its first two weeks and by July had been downloaded over 650 @,@ 000 times . A PlayStation 3 version was announced in May 2006 as a downloadable game via the PlayStation Store , and was released in February 2007 . A version for the PlayStation Portable , developed by SuperVillain Studios , was released in March 2008 . Flow became the most downloaded game on the PlayStation Network in 2007 , and won Best Downloadable Game at the Game Developers Choice Awards .",232
wt_1,"Mahesh stated in an interview that he had to shoot the film 's climax and two songs continuously for thirty @-@ eight days , adding that he had to visit a hospital to be treated for shoulder pain . During the shooting of an underwater sequence , a few electrical lights were used . The electricians changed the lines , creating a short circuit which resulted in the death of one of the unit members . Mahesh had gotten out of the pool two seconds before the accident happened which he termed a "" miracle "" .",97
wt_2,"The Pasha I formation with a ration strength of about 16 @,@ 000 , consisted of personnel and materiel for a machine gun battalion of eight companies with four guns each with Ottoman drivers , five anti @-@ aircraft groups , the 60th Battalion Heavy Artillery consisting of one battery of two 100mm guns , one battery of four 150 mm howitzers and two batteries of 210 mm howitzers ( two guns in each battery ) . The officers , NCOs and "" leading numbers "" of this artillery battalion were German ; the remainder were Ottoman Army personnel . In addition Pasha I also included two trench mortar companies , the 300th Flight Detachment , Wireless detachment , three railway companies and two field hospitals . Austria provided two mountain howitzer batteries of six guns each . With the exception of the two 210 mm howitzers , the trench mortars and the railway personnel the remainder of Pasha I took part in the advance to Romani .",168
wt_3,"However , not all of Alkan 's music is either lengthy or technically difficult ; for example , many of the Op. 31 Préludes and of the set of Esquisses , Op. 63 .",34
wt_4,"They are divided into castes . The Selenites live in a large complex under the surface of the moon from which they rarely venture , with the exception of the ' exiles ' . The Selenites "" banish [ these ] dregs of their society , the criminals and psychotics , "" to the surface of the moon . There are three Selenite exiles with whom the player can interact ; they live on the surface and sleep in their isolated underground stables at night . Each exile has two different plants on either shoulder with which they share a special bond .",103
wt_5,"at Hill 70 , 12 miles ( 19 km ) from Romani , the New Zealand Mounted Rifles Brigade ( less the Wellington Mounted Rifles Regiment , but with the 2nd Light Horse Brigade 's 5th Light Horse Regiment , temporarily attached ) , commanded by Edward Chaytor , and the 5th Mounted Brigade , under the direct command of Lawrence , were joined on the railway by infantry in the 126th ( East Lancashire ) Brigade ( 42nd Division ) . Together with the 5th Light Horse Regiment , attached to the New Zealand Mounted Rifles Brigade at Dueidar , to the east of Hill 70 , this force was to stop or delay von Kressenstein 's attack should he attempt to bypass Romani and advance directly towards the Suez Canal ,",133
wt_6,"TV Guide listed "" Kir 'Shara "" on its Hot List for the day , while the preview by IGN said that the show "" finally grows up and becomes a Star Trek series this week "" . It described "" Kir 'Shara "" as "" far from a perfectly executed Trek story but they get enough right to make it a lot easier to overlook the few things they miss . "" It said that there had been an overall improvement in the fourth season , and that "" this could become some of the best Star Trek ever made "" . It gave "" Kir 'Shara "" a rating of four and a half out of five . In Matthew Kappell 's book Star Trek As Myth , he said that he felt that the revelation that the previous Vulcan administration was working with the Romulans all along "" suddenly makes sense of years of previously incomprehensible Vulcan policy "" and linked to The Next Generation episode "" Unification "" .",173
wt_7,"Aside from those found on Corythosaurus casuarius , extensive skin impressions have been found on Edmontosaurus annectens and notable integument has also been found on Brachylophosaurus canadensis , Gryposaurus notabilis , Parasaurolophus walkeri , Lambeosaurus magnicristatus , L. lambei , Saurolophus angustirsotris and on unidentified ornithopods . Of these , L. lambei , C. casuarius , G. notabilis , P. walkeri , and S. angustirsotris have preserved polygonal scales . The scales on L. lambei , S. angustirostris and C. casuarius are all similar . Corythosaurus is one of very few hadrosaurids which have preserved skin impressions on the hind limbs and feet . A study in 2013 showed that amongst hadrosaurids , Saurolophus angustirostris preserved the best and most complete foot and limb integument , although other species like S. osborni , Edmontosaurus annectens and Lambeosaurus lambei ( = L. clavinitialis ) share a fair amount of preserved tissue on those regions .",154
wt_8,"The star with the lowest iron content ever measured is the dwarf HE1327 @-@ 2326 , with only 1 / 200,000th the iron content of the Sun . By contrast , the super @-@ metal @-@ rich star μ Leonis has nearly double the abundance of iron as the Sun , while the planet @-@ bearing star 14 Herculis has nearly triple the iron . There also exist chemically peculiar stars that show unusual abundances of certain elements in their spectrum ; especially chromium and rare earth elements . Stars with cooler outer atmospheres , including the Sun , can form various diatomic and polyatomic molecules .",107
wt_9,"In the chamber to the east of the Trimurti is the four @-@ armed Ardhanarishvara carving . This image , which is 5 @.@ 11 m ( 16 @.@ 8 ft ) in height , has a headdress ( double @-@ folded ) with two pleats draped towards the female head ( Parvati ) and the right side ( Shiva ) depicting curled hair and a crescent . The female figure has all the ornamentation ( broad armlets and long bracelets , a large ring in the ear , jewelled rings on the fingers ) but the right male figure has drooping hair , armlets and wristlets . One of his hands rests on Nandi ’ s left horn , Shiva 's mount , which is fairly well preserved . The pair of hands at the back is also bejewelled ; the right hand of the male holds a serpent , while the left hand of the female holds a mirror . The front left hand is broken but conjectured as holding the robe of the goddess . The central figure is surrounded by divinities .",186
wt_10,"5 have trigonal bipyramidal molecular geometry in the gas phase , but in the liquid phase , SbF",18
wt_11,"American rapper Kendrick Lamar is featured on "" Forbidden Fruit "" , which is the only track on the standard edition of Born Sinner with a fellow rapper credited as a featured artist . Lamar does not rap a verse on the song ; he instead contributes vocals to its refrain . "" Forbidden Fruit "" contains lyrics referencing Born Sinner 's release date coinciding with that of Yeezus by American rapper Kanye West .",75
wt_12,"The series depicts the everyday lives of office employees in the Scranton , Pennsylvania branch of the fictional Dunder Mifflin Paper Company . In this episode , Jim Halpert ( John Krasinski ) is forced into spending time with Michael Scott ( Steve Carell ) so that Michael will not reveal Jim 's feelings for Pam Beesly ( Jenna Fischer ) . Meanwhile , Oscar Martinez ( Oscar Nunez ) takes a sick day and Dwight Schrute ( Rainn Wilson ) investigates whether he is actually sick .",88
